filename,image_path,label_path,review_image_path,detected,detection_count,bbox_pixel_x,bbox_pixel_y,bbox_pixel_w,bbox_pixel_h,bbox_yolo_x_center,bbox_yolo_y_center,bbox_yolo_w,bbox_yolo_h,contour_area,circularity,aspect_ratio,confidence_heuristic,roi_source,roi_x,roi_y,roi_w,roi_h,ignored_bottom_ratio,status,review_required,notes
20260505T154815384_0800_hotkey_continuous.png,data\selected\phase2_yellow_ball\20260505T154815384_0800_hotkey_continuous.png,data\prelabels\phase2_yellow_ball\labels\20260505T154815384_0800_hotkey_continuous.txt,data\prelabels\phase2_yellow_ball\review_images\20260505T154815384_0800_hotkey_continuous.png,true,6,857,592,10,10,0.448958,0.552778,0.005208,0.009259,68.5,0.9117,1.0,0.947,metadata,0,0,1920,1040,0.0,prelabeled,true,offline_opencv_prelabel_requires_human_review_roi_limited
20260505T154815384_0800_hotkey_continuous.png,data\selected\phase2_yellow_ball\20260505T154815384_0800_hotkey_continuous.png,data\prelabels\phase2_yellow_ball\labels\20260505T154815384_0800_hotkey_continuous.txt,data\prelabels\phase2_yellow_ball\review_images\20260505T154815384_0800_hotkey_continuous.png,true,6,756,196,11,11,0.396615,0.186574,0.005729,0.010185,83.0,0.8948,1.0,0.9369,metadata,0,0,1920,1040,0.0,prelabeled,true,offline_opencv_prelabel_requires_human_review_roi_limited
20260505T154815384_0800_hotkey_continuous.png,data\selected\phase2_yellow_ball\20260505T154815384_0800_hotkey_continuous.png,data\prelabels\phase2_yellow_ball\labels\20260505T154815384_0800_hotkey_continuous.txt,data\prelabels\phase2_yellow_ball\review_images\20260505T154815384_0800_hotkey_continuous.png,true,6,1141,469,11,10,0.597135,0.438889,0.005729,0.009259,72.5,0.9149,1.1,0.9089,metadata,0,0,1920,1040,0.0,prelabeled,true,offline_opencv_prelabel_requires_human_review_roi_limited
20260505T154815384_0800_hotkey_continuous.png,data\selected\phase2_yellow_ball\20260505T154815384_0800_hotkey_continuous.png,data\prelabels\phase2_yellow_ball\labels\20260505T154815384_0800_hotkey_continuous.txt,data\prelabels\phase2_yellow_ball\review_images\20260505T154815384_0800_hotkey_continuous.png,true,6,929,397,11,10,0.486719,0.372222,0.005729,0.009259,72.5,0.9149,1.1,0.9089,metadata,0,0,1920,1040,0.0,prelabeled,true,offline_opencv_prelabel_requires_human_review_roi_limited
20260505T154815384_0800_hotkey_continuous.png,data\selected\phase2_yellow_ball\20260505T154815384_0800_hotkey_continuous.png,data\prelabels\phase2_yellow_ball\labels\20260505T154815384_0800_hotkey_continuous.txt,data\prelabels\phase2_yellow_ball\review_images\20260505T154815384_0800_hotkey_continuous.png,true,6,741,320,11,10,0.388802,0.300926,0.005729,0.009259,76.5,0.8975,1.1,0.8985,metadata,0,0,1920,1040,0.0,prelabeled,true,offline_opencv_prelabel_requires_human_review_roi_limited
20260505T154815384_0800_hotkey_continuous.png,data\selected\phase2_yellow_ball\20260505T154815384_0800_hotkey_continuous.png,data\prelabels\phase2_yellow_ball\labels\20260505T154815384_0800_hotkey_continuous.txt,data\prelabels\phase2_yellow_ball\review_images\20260505T154815384_0800_hotkey_continuous.png,true,6,737,508,11,10,0.386719,0.475000,0.005729,0.009259,72.0,0.8758,1.1,0.8855,metadata,0,0,1920,1040,0.0,prelabeled,true,offline_opencv_prelabel_requires_human_review_roi_limited
20260505T154816399_0800_hotkey_continuous.png,data\selected\phase2_yellow_ball\20260505T154816399_0800_hotkey_continuous.png,data\prelabels\phase2_yellow_ball\labels\20260505T154816399_0800_hotkey_continuous.txt,data\prelabels\phase2_yellow_ball\review_images\20260505T154816399_0800_hotkey_continuous.png,true,6,857,592,10,10,0.448958,0.552778,0.005208,0.009259,68.5,0.9117,1.0,0.947,metadata,0,0,1920,1040,0.0,prelabeled,true,offline_opencv_prelabel_requires_human_review_roi_limited
20260505T154816399_0800_hotkey_continuous.png,data\selected\phase2_yellow_ball\20260505T154816399_0800_hotkey_continuous.png,data\prelabels\phase2_yellow_ball\labels\20260505T154816399_0800_hotkey_continuous.txt,data\prelabels\phase2_yellow_ball\review_images\20260505T154816399_0800_hotkey_continuous.png,true,6,756,196,11,11,0.396615,0.186574,0.005729,0.010185,83.0,0.8948,1.0,0.9369,metadata,0,0,1920,1040,0.0,prelabeled,true,offline_opencv_prelabel_requires_human_review_roi_limited
20260505T154816399_0800_hotkey_continuous.png,data\selected\phase2_yellow_ball\20260505T154816399_0800_hotkey_continuous.png,data\prelabels\phase2_yellow_ball\labels\20260505T154816399_0800_hotkey_continuous.txt,data\prelabels\phase2_yellow_ball\review_images\20260505T154816399_0800_hotkey_continuous.png,true,6,1141,469,11,10,0.597135,0.438889,0.005729,0.009259,72.5,0.9149,1.1,0.9089,metadata,0,0,1920,1040,0.0,prelabeled,true,offline_opencv_prelabel_requires_human_review_roi_limited
20260505T154816399_0800_hotkey_continuous.png,data\selected\phase2_yellow_ball\20260505T154816399_0800_hotkey_continuous.png,data\prelabels\phase2_yellow_ball\labels\20260505T154816399_0800_hotkey_continuous.txt,data\prelabels\phase2_yellow_ball\review_images\20260505T154816399_0800_hotkey_continuous.png,true,6,741,320,11,10,0.388802,0.300926,0.005729,0.009259,76.5,0.8975,1.1,0.8985,metadata,0,0,1920,1040,0.0,prelabeled,true,offline_opencv_prelabel_requires_human_review_roi_limited
